City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,yanbu,24.0891,38.0637,303.17,79,20,1.54,SA,1721627207
321,kananga,-5.8958,22.4178,296.61,36,25,0.61,CD,1721627208
322,monte alegre,-2.0078,-54.0692,295.96,76,0,1.73,BR,1721627210
323,queenstown,-31.8976,26.8753,277.99,34,1,2.03,ZA,1721627211
324,melekeok village,7.4957,134.6367,306.46,66,75,4.63,PW,1721627212
325,vysokiy,58.35,60.05,287.3,63,100,4.52,RU,1721627214
326,ishikawa,26.4233,127.8214,307.13,69,75,7.72,JP,1721627215
327,alotau,-10.3069,150.4462,297.55,90,99,2.27,PG,1721627216
328,kaa-khem,51.6833,94.7333,293.01,71,100,4.55,RU,1721627217
329,labrador city,52.9463,-66.9114,281.1,85,100,16.99,CA,1721627112
330,loch garman,52.3342,-6.4575,288.65,100,87,2.68,IE,1721627219
331,coronel dorrego,-38.7187,-61.2873,280.51,51,0,5.08,AR,1721627220
332,madalena,41.2162,-8.3345,289.68,74,0,2.18,PT,1721627221
333,ngong,-1.3618,36.6566,289.69,88,75,0.0,KE,1721627223
334,palopo,-2.9996,120.1921,301.93,67,83,1.31,ID,1721627224
335,iskateley,67.6803,53.1512,289.86,51,98,3.75,RU,1721627225
336,cururupu,-1.8283,-44.8683,295.13,94,9,0.64,BR,1721627226
337,ta`u,-14.2336,-169.5144,299.69,75,35,11.12,AS,1721627227
338,keflavik,64.0049,-22.5624,283.1,87,75,6.17,IS,1721627228
339,ringkobing,56.0901,8.244,289.14,88,75,5.66,DK,1721627229
340,toliara,-23.35,43.6667,294.82,60,0,4.47,MG,1721627224
341,karratha,-20.7377,116.8463,299.67,24,0,4.94,AU,1721627177
342,parkano,62.0167,23.0167,294.63,66,10,3.78,FI,1721627234
343,penarth,51.4394,-3.1761,291.0,96,75,5.14,GB,1721627235
344,yuzhno-kurilsk,44.0306,145.8556,296.17,78,48,1.77,RU,1721627236
345,morehead city,34.7229,-76.726,300.39,87,35,2.68,US,1721627237
346,kalmunai,7.4167,81.8167,308.41,37,94,0.95,LK,1721627238
347,lloydminster,53.2835,-110.0016,293.27,77,20,2.06,CA,1721627239
348,grand baie,-20.0182,57.5802,297.84,71,9,2.68,MU,1721627240
349,egilsstadir,65.2653,-14.3948,282.1,71,100,5.14,IS,1721627241
350,sumbawa besar,-8.5,117.4333,305.2,46,82,2.94,ID,1721627243
351,san antonio de pale,-1.4014,5.6325,295.96,78,70,1.66,GQ,1721627244
352,stanley,54.868,-1.6985,286.32,93,75,1.03,GB,1721626716
353,baikonur,45.6167,63.3167,304.76,25,69,1.78,KZ,1721627246
354,klaksvik,62.2266,-6.589,284.66,86,28,9.2,FO,1721627247
355,santo antonio,-6.3106,-35.4789,294.27,88,62,4.67,BR,1721627248
356,broadstairs,51.3591,1.4394,289.13,77,15,5.76,GB,1721627249
357,castillos,-34.1667,-53.8333,284.19,91,76,1.99,UY,1721627250
358,baker city,44.7749,-117.8344,301.99,26,0,2.06,US,1721627251
359,sitka,57.0531,-135.33,288.09,82,75,2.57,US,1721627252
360,koungou,-12.7336,45.2042,300.99,61,0,4.63,YT,1721627254
361,qulsary,46.9531,54.0198,304.72,34,36,5.42,KZ,1721627255
362,yangjiang,21.85,111.9667,304.12,70,100,7.33,CN,1721627256
